local_time (IST),state,city,station_name,id,latitude,longitude,AT (degC),RH (%),PM2_5 (ug/m3),PM10 (ug/m3),CO2 (PPM)
29/03/2025 22:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,30.82,18.6,42.92,152.48,405.13
29/03/2025 22:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,56.69,397.46,583.77,5000.0
29/03/2025 22:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,27.68,19.86,40.65,150.25,403.95
29/03/2025 22:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,27.65,20.52,42.39,65.56,413.99
29/03/2025 22:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,30.35,21.07,52.56,162.01,400.75
29/03/2025 23:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,30.4,18.49,39.51,143.45,405.3
29/03/2025 23:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,89.73,658.15,942.32,5000.0
29/03/2025 23:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,26.15,22.01,32.65,136.36,404.0
29/03/2025 23:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,26.62,23.51,40.13,62.5,404.91
29/03/2025 23:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,29.71,21.74,44.33,148.13,413.0
30/03/2025 00:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,29.29,19.65,39.99,150.13,405.43
30/03/2025 00:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,4464.79
30/03/2025 00:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,25.12,24.72,36.7,146.72,404.0
30/03/2025 00:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,25.56,26.32,39.72,60.56,404.26
30/03/2025 00:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,28.99,22.74,46.49,156.63,401.0
30/03/2025 01:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,28.57,21.59,40.54,131.62,405.47
30/03/2025 01:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,5000.0
30/03/2025 01:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,24.1,26.99,41.07,132.65,404.0
30/03/2025 01:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,24.8,27.76,41.89,59.99,404.45
30/03/2025 01:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,28.27,24.36,48.22,139.27,401.0
30/03/2025 02:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,27.94,22.68,36.04,120.24,405.41
30/03/2025 02:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,5000.0
30/03/2025 02:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,23.55,27.98,38.69,121.06,428.81
30/03/2025 02:00,Uttar Pradesh,Varanasi,Varanasi - Kailash Puri Near BHU,20698,25.2799085,82.9795844,23.93,29.48,38.25,52.28,404.02
30/03/2025 02:00,Uttar Pradesh,Varanasi,Varanasi - Siddhgiri Baag,20723,25.310864,82.994804,27.62,25.56,42.75,126.94,401.0
30/03/2025 03:00,Uttar Pradesh,Varanasi,Varanasi - Bangali Tola,20733,25.307449,83.006867,27.37,24.2,34.69,111.15,405.44
30/03/2025 03:00,Uttar Pradesh,Varanasi,Varanasi - Bhelupur Gauriganj,20722,25.310865,82.994808,,95.0,700.0,1000.0,5000.0
30/03/2025 03:00,Uttar Pradesh,Varanasi,Varanasi - Chandpur chauraha,20674,25.306425,82.950814,22.89,29.09,29.28,105.72,404.0
